The American Petroleum Institute (API) in the United States, which claims to be the world's largest oil exporter, has discovered oil sands oil deposits in Nigeria that belong to private security firms.
The firms, which have invested in the oil sands oil deposits in Nigeria for fifteen years and have not been profitable for the company, claim that the oil sands oil is safe as it is in private hands.
American Petroleum Institute claimed that the oil sands oil deposits contain oil produced by private security firms.
The firm claimed that the oil sands oil deposits contain a total of 10% of the total oil claimed by the firm.
The firm claimed that the oil sands oil deposits contain oil from a reliable oil company.
The company claimed that the oil sands oil deposits contain the oil of a major company and that the oil is safe.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
The company claimed that the oil sands oil deposits contain the oil of a major oil company.
