I got a call from my uncle in Ireland who said he would like to hear from me because he is asking for my assistance to invest in a company that will secure a 10% share of my investment.
I am asking you to provide us the following information to secure this investment:
1. Your company,
2. Your telephone,
3. Your fax,
4. Your email,
5. Your fax and
6. Your fax and
7. Your fax and
8. Your fax and
9. Your fax and
10. Your fax and
11. Your fax and
12. Your fax and
13. Your fax and
14. Your fax and
15. Your fax and
16. Your fax and
17. Your fax and
18. Your fax and
19. Your fax and
20. Your fax and
21. Your fax and
22. Your fax and
23. Your fax and
24. Your fax and
25. Your fax and
26. Your fax and
27. Your fax and
28. Your fax and
29. Your fax and
30. Your fax and
31. Your fax and
32. Your fax and
33. Your fax and
34. Your fax and
35. Your fax and
36. Your fax and
37. Your fax and
38. Your fax and
39. Your fax and
40. Your fax and
41. Your fax and
42. Your fax and
43. Your fax and
44. Your fax and
45. Your fax and
46. Your fax and
47. Your fax and
48. Your fax and
49. Your fax and
50. Your fax and
51. Your fax and
52. Your fax and
53. Your fax and
54. Your fax and
55. Your fax and
56. Your fax and
57. Your fax and
58. Your fax and
59. Your fax and
60. Your fax and
61. Your fax and
62. Your fax and
63. Your fax and
64. Your fax and
65. Your fax and
66. Your fax and
67. Your fax and
68. Your fax and
69. Your fax and
70. Your fax and
71. Your fax and
72. Your fax and
73. Your fax and
74. Your fax and
75. Your fax and
76. Your fax and
77. Your fax and
78. Your fax and
79. Your fax and
80. Your fax and
81. Your fax and
82. Your fax and
83. Your fax and
84. Your fax and
85. Your fax and
86. Your fax and
87. Your fax and
88. Your fax and
89. Your fax and
90. Your fax and
91. Your fax and
92. Your fax and
93. Your fax and
94. Your fax and
95. Your fax and
96. Your fax and
97. Your fax and
98. Your fax and
99. Your fax and
100. Your fax and

101. Your fax and
102. Your fax and
103. Your fax and
104. Your fax and
105. Your fax and
106. Your fax and
107. Your fax and
108. Your fax and
109. Your fax and
110. Your fax and
111. Your fax and
112. Your fax and
113. Your fax and
114. Your fax and
115. Your fax and
116. Your fax and
117. Your fax and
118. Your fax and
119. Your fax and
120. Your fax and
121. Your fax and
122. Your fax and
123. Your fax and
124. Your fax and
125. Your fax and
126. Your fax and
127. Your fax and
128. Your fax and
129. Your fax and
130. Your fax and
131. Your fax and
132. Your fax and
133. Your fax and
134. Your fax and
135. Your fax and
136. Your fax and
137. Your fax and
138. Your fax and
139. Your fax and
140. Your fax and
141. Your fax and
142. Your fax and
143. Your fax and
144. Your fax and
145. Your fax and
146. Your fax and
147. Your fax and
148. Your fax and
149. Your fax and
150. Your fax and
151. Your fax and
152. Your fax and
153. Your fax and
154. Your fax and
155. Your fax and
156. Your fax and
157. Your fax and
158. Your fax and
159. Your fax and
160. Your fax and
161. Your
